Energia_eV,Electrones
6403.84,185556
6390.84,190846
6390.84,211165
6390.84,184433
7058.0,231153
6390.84,201939
6403.84,222433
6403.84,199938
6403.84,175511
7058.0,192455
7058.0,217804
6403.84,185565
7058.0,207354
6390.84,176442
7058.0,192177
6403.84,184687
6390.84,202606
6403.84,206744
6403.84,178689
6403.84,186510
7058.0,231858
7058.0,112574
7058.0,198101
6403.84,218822
6403.84,199817
6403.84,192098
6403.84,189282
6403.84,184098
7058.0,189875
6390.84,95814
6390.84,93477
6403.84,196844
6403.84,189613
6403.84,198729
6390.84,29181
6403.84,182022
7058.0,227777
6403.84,214123
6403.84,209849
7058.0,116726
7058.0,213881
7058.0,206573
6403.84,209721
6403.84,196615
6403.84,68554
7058.0,209108
6390.84,189905
7058.0,202448
6390.84,186293
6403.84,206049
6403.84,198334
7058.0,228527
6403.84,219699
6403.84,182450
7058.0,208865
6403.84,194691
6390.84,201206
6403.84,187468
6403.84,199699
6403.84,178208
7058.0,214299
6390.84,202546
6403.84,33885
6403.84,186322
6403.84,186154
6403.84,185406
6403.84,199515
7058.0,193213
7058.0,189698
7058.0,212186
7058.0,225916
6390.84,197473
6403.84,192252
6403.84,100679
6403.84,38306
6390.84,204430
6403.84,200843
6403.84,197512
6403.84,193737
6390.84,182844
6403.84,87724
6403.84,176282
6403.84,46901
6403.84,139689
6403.84,200024
7058.0,189411
7058.0,208881
7058.0,203696
6403.84,189714
6403.84,183236
6390.84,188855
7058.0,205730
7058.0,170673
6403.84,179207
7058.0,204442
6403.84,188700
6403.84,174898
7058.0,201481
7058.0,210744
6403.84,206607
6390.84,182678
6403.84,194138
