Evento,Electrones_Finales_Anodo
1,25836300.030247506
2,36990146.918978505
3,31397591.974327452
4,28506457.69723967
5,72175497.150755
6,32282011.402563214
7,51723507.46190274
8,43554219.416203275
9,46515004.68302916
10,23354603.235736575
11,51468069.955974
12,28309041.61311066
13,36992325.86406954
14,36291566.29814381
15,33675771.71484682
16,27902639.98346222
17,25341647.893961433
18,30557007.95698544
19,116866190.51252732
20,48956860.03679053
21,26772674.583338536
22,28493424.03450283
23,37284902.83294385
24,38807860.09334428
25,28443451.886304222
26,34602465.04140864
27,51725229.97510027
28,38003934.655964114
29,28662213.77481701
30,34782153.97646903
31,34006232.92794406
32,26181232.69090932
33,45519443.42178513
34,32052533.607927717
35,28845752.48097154
36,32318214.30834814
37,31191709.44250873
38,26583201.266648874
39,27587878.810122255
40,56310984.79977906
41,37326069.45893299
42,32667463.467680227
43,26459961.988878746
44,42213973.37268887
45,34526309.73553662
46,57525983.34738278
47,30996810.67567777
48,25758540.400383778
49,58907131.48100588
50,36943824.50708262
51,30681510.23218573
52,25906748.289052572
53,28137334.285948023
54,32363850.16377205
55,40556592.34402947
56,29094562.453937527
57,35674935.62613397
58,25938181.545389358
59,25860562.936949663
60,120099739.46081528
61,29261250.206694696
62,28415502.152550593
63,43200462.144163705
64,40031994.06444054
65,27933707.387935456
66,37046060.58033585
67,19388740.0146624
68,28671061.154426683
69,46354449.5567529
70,32284622.450804967
71,32092967.69044187
72,27093953.360882893
73,33651099.02462697
74,39497806.85888764
75,34799674.097940676
76,83594206.53776847
77,23788384.256614447
78,33699812.598898076
79,39325459.43661651
80,25051586.248154975
81,32397092.340705335
82,24470844.402240638
83,39954500.32361998
84,35664123.58034479
85,21217908.351139702
86,62751050.13881308
87,64226147.69324165
88,153965334.84747967
89,24601139.716267496
90,34864036.737970755
91,96309606.198067
92,45263832.901563
93,33695612.3754706
94,28498535.019305773
95,31491324.834342092
96,28908202.967196546
97,43068104.3875377
98,37763054.212029055
99,83873171.26314704
100,66016130.75892761
101,25417534.76395682
102,35922246.67557359
103,29657277.159151383
104,35130416.406975605
105,63144901.62961382
106,22713730.821126748
107,29675518.077204116
108,25132010.064351033
109,36460683.88343858
110,31171279.936283026
111,44110578.07124836
112,27670510.09319064
113,32537801.624729045
114,42198644.636498645
115,28258561.020841256
116,25365271.53563599
117,46030734.0830255
118,27071659.306642782
119,36855818.643695496
120,42388797.01945532
121,30127801.43687673
122,38376741.423423916
123,22749378.04826516
124,90999669.12489694
125,163544665.43175578
126,40328752.07071912
127,69274162.71145898
128,37411381.94383768
129,34271776.24227923
130,30948775.81265704
131,26544316.0029336
132,59111405.31086072
133,31102857.571023714
134,24634745.30233733
135,38099969.961604305
136,26576088.084060457
137,34495624.70350926
138,38463553.30322909
139,25553269.30904213
140,30466523.648008026
141,34503448.136706434
142,29211188.099892527
143,50740848.63145814
144,29736696.059007302
145,28527173.392188117
146,40808045.673548676
147,102722586.2879007
148,31924337.0953823
149,40087166.88771134
150,32208355.07982634
151,40559341.233118966
152,38793682.691775374
153,35255531.090776265
154,25320128.721162442
155,25252852.318908434
156,30553312.825122654
157,23406055.117492247
158,35672694.9539012
