Evento,Electrones_Finales_Anodo
159,27932433.232760817
160,34508108.29726452
161,26686559.843054622
162,34626861.02511213
163,41030093.34514343
164,54306361.043699026
165,104528395.40274025
166,29856522.234655254
167,48886251.263432644
168,29381325.86663692
169,31211207.469968658
170,19707861.512527708
171,29640373.089287587
172,36645782.36559195
173,47352979.90711167
174,30926898.277884882
175,50004610.614868276
176,96800373.71168184
177,30208539.839724362
178,30572058.575290024
179,64291953.11582814
180,42016563.80284909
181,65110432.23961076
182,41968661.8690568
183,48375425.48766031
184,53288947.1626892
185,39011652.13070192
186,24330312.926861826
187,30595990.60501945
188,29480084.231532943
189,108619128.16262949
190,26659656.110287637
191,28339478.48818429
192,32832965.066178158
193,68376029.6672636
194,33013447.715565808
195,32922561.0761731
196,40486331.3624328
197,39561415.67940058
198,28165779.88788125
199,22654542.706089407
200,30771530.02573683
201,38822225.79501992
202,45866920.55819233
203,40089335.86486014
204,27445625.31587261
205,22637044.753590263
206,37896382.79120468
207,45124896.03863522
208,29919066.873423997
209,38385829.34414603
210,39407596.69867812
211,36861736.52577585
212,29541031.282058943
213,39341817.58712649
214,27126984.144402724
215,91105481.32324281
216,36003810.43181717
217,29451197.354362577
218,21876721.827854306
219,36870375.988676295
220,31283673.21500567
221,54498631.91945324
222,132499548.04132992
223,28349735.988433395
224,24053225.07929771
225,36862792.17983529
226,30863955.08823051
227,79926306.41722567
228,31863933.161587972
229,65485420.661984816
230,31671254.082115635
231,40501160.491210476
232,35458229.809294745
233,33935810.537999205
234,59499231.14234063
235,34180463.76414356
236,22277870.13157473
237,33143537.59586469
238,46845953.09828449
239,45115290.962734684
240,45968668.49666834
241,53134344.60387783
242,28513125.152711533
243,31967750.632311292
244,28818486.27248003
245,30915653.947938453
246,59743665.97160135
247,48105570.80798727
248,26640045.411448397
249,56043275.750998504
250,30038925.692685276
251,27432665.228409138
252,32905130.327210188
253,24237723.935455278
254,26708120.060265396
255,24465005.95973207
256,30939441.213550426
257,39760717.91245134
258,29769899.326007836
259,45569326.25917154
260,45654899.699694835
261,42230630.50099138
262,37879465.28551496
263,34938027.38982345
264,44807001.96652111
265,33513420.268291607
266,28520693.13637889
267,85364968.17431714
268,29252969.956864342
269,38717262.37042583
270,23157614.848472506
271,35165448.21875579
272,29846234.46813872
273,108095363.68802257
274,47408725.92579395
275,26901173.313342117
276,48339249.92017241
277,55471757.31952705
278,31664529.256696515
279,46949482.173189916
280,197678725.3324074
