Evento,Electrones_Finales_Anodo
1,29777243.225366246
2,26777344.802379366
3,47681538.70533591
4,71842996.62878443
5,27113275.25187675
6,43193435.84883564
7,29630306.724384587
8,34611694.69835597
9,35244845.112335905
10,139651598.11764842
11,28803640.164102998
12,37681882.72893852
13,125899187.69410926
14,25390624.308269847
15,69368989.25388798
16,59154215.22299388
17,40498436.247462615
18,98468546.91552015
19,37443600.32022895
20,31757694.93804733
21,28730867.00331164
22,35104553.82852883
23,41484468.12665726
24,41064780.74753316
25,163069964.93194324
26,45135852.55749189
27,39178276.526471995
28,30761150.883853834
29,31657854.754174873
30,40931364.54912241
31,48778366.206576124
32,34141940.90179988
33,53490568.10668645
34,41752932.691024475
35,32825093.27862339
36,45287286.633847006
37,37835619.769994274
38,38783805.911696546
39,31363234.959938165
40,54348374.91159556
41,26067038.752847366
42,24516336.654430337
43,36622565.889988214
44,33455871.337948203
45,53563678.70901589
46,35500666.75953149
47,39980001.168516785
48,35555200.02609708
49,39114675.36433281
50,33693296.40746029
51,32022877.645174216
52,37930352.30303148
53,41827804.80694629
54,28222584.354211226
55,40974039.2721676
56,33259340.572451614
57,50018586.372729085
58,44448516.18011016
59,50121109.15201739
60,41267240.5767411
61,46100915.8046216
62,55037761.65698721
63,29326555.532385796
64,30645804.021604866
65,24740029.20186376
66,49144677.028399035
67,56023630.89963012
68,42628933.84988731
69,28418557.36121802
70,39392052.972161494
71,46956809.35522587
72,31481563.272490315
73,49835389.77472314
74,135854160.47216266
75,30765921.274187554
76,37259762.61635489
77,22882318.185725413
78,30870799.480112266
79,84824999.60550824
80,58995650.815506585
81,31262442.411029764
82,37990204.37557115
83,56287778.2588665
84,26743629.733081594
85,33453095.45137155
86,27754741.718225043
87,29292661.17958478
88,32317723.824588146
89,32230200.765918285
90,38586457.06147686
91,36475651.58853909
92,45548161.29626871
93,29590519.529798456
94,29587989.059893094
95,36925982.476525374
96,35738580.73510966
97,52113160.05618217
98,51493172.09423314
99,30954819.769471243
100,45393058.3311055
101,38759067.88213902
102,27292687.513017043
103,50928610.05826208
104,25411340.34422518
105,34654230.98969092
106,28768656.860976994
107,52457575.03468031
108,101407226.6991307
109,32147819.124037012
110,47077738.55959997
111,45602702.817799486
112,72021080.46091755
113,34786466.54294663
114,27865948.260634895
115,42619439.611729294
116,50938947.52233744
117,67078733.45327043
118,41653392.968802586
119,28846805.15960576
120,49358607.51701702
121,59845583.26985901
122,26581145.617818266
123,37067228.815258466
124,53808033.80744328
125,32415887.718793858
126,37461445.74635764
127,27905571.44734728
128,40659397.52998113
129,46649793.83407557
130,30775601.70766863
131,27307604.879131764
132,90468287.94363572
133,28331283.20668047
134,45073655.83713083
135,46341746.15072691
136,28505638.35292544
137,31399968.720768068
138,38383969.56167168
139,49003609.104231454
140,36512628.38853135
141,72255466.91218999
142,47356624.88780118
143,33126077.07823094
144,53511336.94454552
145,75988193.19329898
146,66940431.92035938
147,31533350.25203051
148,31277387.745387815
149,69540674.96039085
150,80661726.09750563
151,52056192.278111376
152,32456687.29299279
153,36397237.18825581
154,40177676.81553893
155,49105051.894549645
156,48361023.165962376
157,45503621.57558674
158,57077607.661292344
159,52977082.217844784
160,51772594.36525385
161,65201350.73030896
162,38576068.43730495
163,41970485.94087501
164,40057463.01768679
165,36742660.812569745
166,25420439.85015634
167,44151366.58182097
168,46566524.02784239
169,29443571.08431588
170,42347236.73826898
171,49820859.21665931
172,30253990.86314914
173,58577848.62763761
174,39232715.013463154
175,45014431.43281663
