Evento,Electrones_Finales_Anodo
1,25992858.41198622
2,27066059.00200689
3,59014215.90351242
4,18594794.12884328
5,35933797.28220798
6,29142694.980630826
7,23861206.449946474
8,28080473.517836776
9,15724124.390977858
10,21417201.26000291
11,31214396.030315448
12,53315680.02193419
13,21244416.120624803
14,22256933.730412226
15,19463070.94786935
16,26691259.969795134
17,29266717.008802578
18,23668922.71625782
19,23893805.810766928
20,21421687.51263202
21,27156934.53064551
22,28510217.2783707
23,20219579.72057591
24,19132570.895335723
25,23116969.560582917
26,72305814.71541713
27,33428787.309679613
28,22305679.443418983
29,29526873.54478847
30,29782169.487928703
31,20902657.6967382
32,40658866.23687192
33,23784071.014774747
34,26545799.133218974
35,17660442.28464148
36,28461006.103742786
37,46830400.88350349
38,28878751.14544629
39,21935294.29072254
40,16210909.181214064
41,23231668.196442552
42,28016205.049421936
43,35232665.824793786
44,19698448.57910315
45,22644193.522782948
46,21642897.26874734
47,64697991.89191999
48,30277285.281908285
49,26094650.601617705
50,20453799.846671473
51,36351157.54062741
52,21318968.476222742
53,25966174.50259916
54,30609767.986078843
55,19362817.11413447
56,44637832.482692495
57,17772640.31490947
58,38338699.85444043
59,20979258.275418185
60,18537034.91907272
61,21719611.440063637
62,39858202.85960228
63,20228071.067945592
64,104753620.75363867
65,41531761.03235857
66,33381277.455418773
67,22448737.918803185
68,19696544.130997397
69,23862710.316928074
70,22614914.722129904
71,20051060.366581943
72,19124851.357783157
73,24726857.019641563
74,30335597.111101244
75,130322095.87007575
